gene,logfoldchange,pval_adj,score
ENSG00000273132,0.0,1.0,0.0
ENSG00000287393,0.0,1.0,0.0
ENSG00000272783,0.0,1.0,0.0
ENSG00000224698,0.0,1.0,0.0
ENSG00000235601,0.0,1.0,0.0
ENSG00000249697,0.0,1.0,0.0
ENSG00000225561,0.0,1.0,0.0
ENSG00000211792,0.0,1.0,0.0
ENSG00000253310,0.0,1.0,0.0
ENSG00000278044,0.0,1.0,0.0
ENSG00000235201,0.0,1.0,0.0
ENSG00000228073,0.0,1.0,0.0
ENSG00000124391,0.0,1.0,0.0
ENSG00000102539,0.0,1.0,0.0
ENSG00000233221,0.0,1.0,0.0
ENSG00000205231,0.0,1.0,0.0
ENSG00000261856,0.0,1.0,0.0
ENSG00000266901,0.0,1.0,0.0
ENSG00000230798,0.0,1.0,0.0
ENSG00000249490,0.0,1.0,0.0
ENSG00000230627,0.0,1.0,0.0
ENSG00000266153,0.0,1.0,0.0
ENSG00000233577,0.0,1.0,0.0
ENSG00000233236,0.0,1.0,0.0
ENSG00000259814,0.0,1.0,0.0
ENSG00000226482,0.0,1.0,0.0
ENSG00000280511,0.0,1.0,0.0
ENSG00000287819,0.0,1.0,0.0
ENSG00000255004,0.0,1.0,0.0
ENSG00000204414,0.0,1.0,0.0
ENSG00000154165,0.0,1.0,0.0
ENSG00000180053,0.0,1.0,0.0
ENSG00000263382,0.0,1.0,0.0
ENSG00000265126,0.0,1.0,0.0
ENSG00000273445,0.0,1.0,0.0
ENSG00000259110,0.0,1.0,0.0
ENSG00000205330,0.0,1.0,0.0
ENSG00000284694,0.0,1.0,0.0
ENSG00000270540,0.0,1.0,0.0
